"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","connectance","fixed"
"23",0,0,107,0,0,36,1,5,0,2,0,1,0,40,3,0,0,0,28,2,4,0,0,0,6,0,1,1,103,7,13,0,0,0,0,3,1,0,57,1,0,6,1,0,3,16,1,0,0,35,0,0
"24",14,0,1,6,0,22,5,0,0,35,12,3,18,6,1,20,1,5,0,0,2,0,0,0,0,0,75,0,1,0,16,1,1,17,1,82,0,0,5,0,7,0,49,24,16,14,0,24,0,0,0,0
"25",0,0,17,8,1,36,10,10,0,8,0,0,0,0,13,0,0,2,0,5,0,0,137,0,0,0,21,0,0,0,0,17,0,2,4,6,34,38,0,16,0,52,2,0,3,0,40,0,2,0,0,0
"26",21,0,0,102,30,0,34,0,0,1,17,0,82,49,8,0,0,14,15,0,1,0,1,0,6,29,0,0,5,0,0,0,0,0,10,11,7,11,0,0,0,3,0,1,16,2,0,8,0,0,0,0
"27",0,0,0,1,3,7,5,43,0,21,0,0,0,0,0,76,0,37,0,0,0,19,3,0,0,2,15,33,0,0,22,0,39,4,0,0,0,45,11,25,19,2,0,0,0,0,46,0,0,6,0,0
"28",2,30,0,1,31,0,0,1,0,0,0,52,0,8,47,32,20,3,9,3,51,0,0,0,0,4,1,0,0,0,2,3,0,13,0,0,9,6,2,70,0,1,10,1,33,38,1,0,0,0,0,0
"29",0,5,0,55,20,3,0,1,0,0,2,4,43,11,54,0,14,90,0,0,0,0,12,2,24,0,1,0,2,0,0,0,8,0,0,16,1,0,0,3,5,0,8,1,31,21,0,45,0,2,0,0
"30",1,39,0,0,3,27,0,0,0,0,0,0,0,0,0,4,39,20,0,93,0,0,3,20,46,9,1,0,4,26,0,0,0,0,0,9,0,0,19,0,14,0,0,1,94,2,0,7,0,3,0,0
"31",28,2,0,37,10,0,1,0,0,0,8,0,20,2,32,0,0,1,6,0,0,2,1,0,42,32,0,0,21,2,0,0,2,0,6,44,89,0,7,1,0,0,26,22,2,0,19,0,3,16,0,0
"32",7,4,0,0,0,2,0,67,0,0,0,58,7,5,0,3,1,3,4,7,8,7,4,31,0,1,0,33,10,29,1,0,0,3,7,3,1,48,0,11,0,0,8,0,0,7,2,86,0,16,0,0
"33",11,67,28,11,3,2,0,23,9,30,0,5,0,30,3,26,76,0,2,0,0,1,1,0,5,13,20,51,5,0,0,0,0,0,2,13,0,2,5,0,0,4,1,1,7,0,0,27,0,0,0,0
"34",0,6,0,0,2,0,0,0,0,4,0,44,0,0,25,9,0,0,8,0,16,1,1,35,2,0,0,0,0,0,1,5,2,1,0,118,56,22,1,0,24,8,1,39,16,28,0,5,1,3,0,0
"35",31,1,57,0,0,0,53,0,0,41,20,0,4,0,4,5,0,1,19,0,9,0,28,0,0,59,0,2,0,4,0,6,0,3,0,0,1,0,94,6,0,0,0,4,0,8,6,6,9,3,0,0
"36",3,33,0,51,35,0,49,2,1,50,23,0,1,0,0,14,0,0,5,1,0,0,2,0,1,1,2,0,56,0,0,10,6,0,13,0,5,15,10,0,17,47,0,0,0,20,8,0,3,0,0,0
"37",43,0,1,9,63,0,15,23,0,5,11,2,3,4,4,24,2,3,1,48,0,0,0,52,0,7,2,0,0,2,1,0,3,0,35,0,16,0,0,0,0,77,0,0,0,6,12,0,6,4,0,0
"38",12,0,0,0,0,0,0,0,0,0,3,0,0,76,0,11,51,14,2,57,2,0,2,100,0,0,0,10,36,41,13,1,3,2,0,2,0,0,1,0,0,0,0,0,16,0,2,6,0,21,0,0
"39",0,4,1,19,5,13,0,60,0,0,0,0,0,0,61,12,5,0,0,1,4,6,8,1,0,0,2,5,0,88,6,58,36,0,0,24,0,12,0,13,6,1,2,10,19,1,0,1,0,0,0,0
"40",0,0,0,0,66,0,4,7,96,0,0,3,0,50,9,2,21,0,0,11,0,2,12,11,0,2,0,0,0,0,2,36,5,2,30,3,0,0,6,3,0,0,85,0,2,0,1,9,2,2,0,0
"41",0,0,2,0,20,5,21,38,2,129,0,0,0,0,0,34,4,0,24,28,9,0,10,4,0,1,0,0,0,1,0,2,0,15,3,0,4,0,0,0,0,4,0,0,2,1,22,0,0,99,0,0
"42",0,3,0,3,0,0,12,0,0,6,0,4,0,72,0,0,69,0,0,0,4,14,0,0,1,0,1,1,0,0,105,0,0,0,0,3,81,0,0,2,0,23,6,5,0,4,60,1,3,1,0,0
"43",0,0,0,8,0,44,0,0,0,171,1,1,41,12,3,0,0,0,4,4,0,5,4,0,16,0,4,0,0,0,39,17,0,0,0,1,0,0,6,9,0,12,0,2,6,19,12,43,0,0,0,0
